aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Cheilanthes adiantoides,APC,https://id.biodiversity.org.au/node/apni/2887165,accepted,NA,https://id.biodiversity.org.au/node/apni/2887165,Cheilanthes adiantoides,T.C.Chambers & P.A.Farrant,Species,accepted,Pteridaceae,Polypodiidae,WA,https://id.biodiversity.org.au/tree/51354547/51209625
Cheilanthes austrotenuifolia,APC,https://id.biodiversity.org.au/node/apni/2915986,accepted,NA,https://id.biodiversity.org.au/node/apni/2915986,Cheilanthes austrotenuifolia,H.M.Quirk & T.C.Chambers,Species,accepted,Pteridaceae,Polypodiidae,"WA, SA, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51346044
Cheilanthes brownii,APC,https://id.biodiversity.org.au/node/apni/2898102,accepted,NA,https://id.biodiversity.org.au/node/apni/2898102,Cheilanthes brownii,(Kuhn) Domin,Species,accepted,Pteridaceae,Polypodiidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51209628
Cheilanthes caudata,APC,https://id.biodiversity.org.au/node/apni/2909300,accepted,NA,https://id.biodiversity.org.au/node/apni/2909300,Cheilanthes caudata,R.Br.,Species,accepted,Pteridaceae,Polypodiidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51303040
Cheilanthes distans,APC,https://id.biodiversity.org.au/node/apni/2906248,accepted,NA,https://id.biodiversity.org.au/node/apni/2906248,Cheilanthes distans,(R.Br.) Mett.,Species,accepted,Pteridaceae,Polypodiidae,"WA, SA, Qld, NSW, LHI, NI, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51286011
Cheilanthes lasiophylla,APC,https://id.biodiversity.org.au/node/apni/2920270,accepted,NA,https://id.biodiversity.org.au/node/apni/2920270,Cheilanthes lasiophylla,Pic.Serm.,Species,accepted,Pteridaceae,Polypodiidae,"WA, NT, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51209633
Cheilanthes nitida,APC,https://id.biodiversity.org.au/node/apni/2904652,accepted,NA,https://id.biodiversity.org.au/node/apni/2904652,Cheilanthes nitida,(R.Br.) P.S.Green,Species,accepted,Pteridaceae,Polypodiidae,"NT, Qld",https://id.biodiversity.org.au/tree/51354547/51209634
Cheilanthes sieberi,APC,https://id.biodiversity.org.au/node/apni/2892346,accepted,nomenclatural synonym,https://id.biodiversity.org.au/node/apni/2892346,Cheilanthes sieberi,Kunze,Species,accepted,Pteridaceae,Polypodiidae,"WA, NT, SA, Qld, NSW, ACT, LHI, NI, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51250452
Cheilanthes sieberi subsp. pseudovellea,APC,https://id.biodiversity.org.au/node/apni/2907348,accepted,NA,https://id.biodiversity.org.au/node/apni/2907348,Cheilanthes sieberi subsp. pseudovellea,H.M.Quirk & T.C.Chambers,Subspecies,accepted,Pteridaceae,Polypodiidae,"WA, NT, SA, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51209639
Cheilanthes sieberi subsp. sieberi,APC,https://id.biodiversity.org.au/node/apni/2895598,accepted,NA,https://id.biodiversity.org.au/node/apni/2895598,Cheilanthes sieberi subsp. sieberi,NA,Subspecies,accepted,Pteridaceae,Polypodiidae,"WA, NT, SA, Qld, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51209640
Cheiranthera simplicifolia,APC,https://id.biodiversity.org.au/node/apni/2906571,accepted,NA,https://id.biodiversity.org.au/node/apni/2906571,Cheiranthera simplicifolia,(E.M.Benn.) L.Cayzer & Crisp,Species,accepted,Pittosporaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51242499
Chenopodiaceae,APC,https://id.biodiversity.org.au/taxon/apni/51300306,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51300306,Chenopodiaceae,Vent.,Familia,accepted,Chenopodiaceae,Magnoliidae,"WA (native and naturalised), NT (native and naturalised), SA (native and naturalised), Qld (native and naturalised), NSW (native and naturalised), LHI (native and naturalised), NI (native and naturalised), ACT (native and naturalised), Vic (native and naturalised), Tas (native and naturalised)",https://id.biodiversity.org.au/tree/51354547/51234280
Chenopodium auricomum,APC,https://id.biodiversity.org.au/node/apni/2897010,accepted,NA,https://id.biodiversity.org.au/node/apni/2897010,Chenopodium auricomum,Lindl.,Species,accepted,Chenopodiaceae,Magnoliidae,"WA, NT, SA, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51234742
Chenopodium curvispicatum,APC,https://id.biodiversity.org.au/node/apni/2909397,accepted,NA,https://id.biodiversity.org.au/node/apni/2909397,Chenopodium curvispicatum,Paul G.Wilson,Species,accepted,Chenopodiaceae,Magnoliidae,"WA, SA, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51345212
Chenopodium desertorum,APC,https://id.biodiversity.org.au/node/apni/7099160,accepted,isonym,https://id.biodiversity.org.au/node/apni/7099160,Chenopodium desertorum,(J.M.Black) J.M.Black,Species,accepted,Chenopodiaceae,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51260119
Chenopodium desertorum subsp. anidiophyllum,APC,https://id.biodiversity.org.au/node/apni/2916482,accepted,NA,https://id.biodiversity.org.au/node/apni/2916482,Chenopodium desertorum subsp. anidiophyllum,(Aellen) Paul G.Wilson,Subspecies,accepted,Chenopodiaceae,Magnoliidae,"WA, NT, SA, Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51234749
Chenopodium desertorum subsp. desertorum,APC,https://id.biodiversity.org.au/node/apni/2906124,accepted,NA,https://id.biodiversity.org.au/node/apni/2906124,Chenopodium desertorum subsp. desertorum,NA,Subspecies,accepted,Chenopodiaceae,Magnoliidae,"WA, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51234750
Chenopodium desertorum subsp. microphyllum,APC,https://id.biodiversity.org.au/node/apni/2919158,accepted,NA,https://id.biodiversity.org.au/node/apni/2919158,Chenopodium desertorum subsp. microphyllum,Paul G.Wilson,Subspecies,accepted,Chenopodiaceae,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51234753
Chenopodium desertorum subsp. rectum,APC,https://id.biodiversity.org.au/node/apni/2894099,accepted,NA,https://id.biodiversity.org.au/node/apni/2894099,Chenopodium desertorum subsp. rectum,Paul G.Wilson,Subspecies,accepted,Chenopodiaceae,Magnoliidae,"WA, NT, SA, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51234751
Chenopodium gaudichaudianum,APC,https://id.biodiversity.org.au/node/apni/2905364,accepted,NA,https://id.biodiversity.org.au/node/apni/2905364,Chenopodium gaudichaudianum,(Moq.) Paul G.Wilson,Species,accepted,Chenopodiaceae,Magnoliidae,"WA, SA",https://id.biodiversity.org.au/tree/51354547/51234737
Chenopodium nitrariaceum,APC,https://id.biodiversity.org.au/node/apni/2901190,accepted,NA,https://id.biodiversity.org.au/node/apni/2901190,Chenopodium nitrariaceum,(F.Muell.) F.Muell. ex Benth.,Species,accepted,Chenopodiaceae,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51234759
