canonicalName,RS_value
Xanthium occidentale,herbaceous
Xerochrysum bracteatum,herbaceous
Xerochrysum subundulatum,herbaceous
Batis argillicola,woody
Dolichandrone alternifolia,woody
Dolichandrone filiformis,woody
Dolichandrone heterophylla,woody
Cochlospermum fraseri,woody
Cochlospermum gregorii,woody
Cynoglossum australe,herbaceous
Cynoglossum suaveolens,herbaceous
Echium plantagineum,herbaceous
Ehretia saligna,woody
Halgania andromedifolia,woody
Halgania cyanea,semi_woody
Halgania erecta,semi_woody
Halgania integerrima,semi_woody
Halgania littoralis,semi_woody
Heliotropium amplexicaule,herbaceous
Heliotropium asperrimum,herbaceous
Heliotropium conocarpum,herbaceous
Heliotropium consimile,herbaceous
Heliotropium crispatum,herbaceous
Heliotropium cunninghamii,herbaceous
Heliotropium curassavicum,herbaceous
Heliotropium europaeum,herbaceous
Heliotropium foliatum,herbaceous
Heliotropium glanduliferum,semi_woody
Heliotropium heteranthum,herbaceous
Heliotropium leptaleum,herbaceous
Heliotropium moorei,herbaceous
Heliotropium pachyphyllum,herbaceous
Heliotropium peninsulare,herbaceous
Heliotropium pleiopterum,herbaceous
Heliotropium plumosum,herbaceous
Heliotropium supinum,herbaceous
Heliotropium tenuifolium,woody
Myosotis discolor,herbaceous
Trichodesma zeylanicum,semi_woody
Borya constricta,herbaceous
Borya laciniata,herbaceous
Borya sphaerocephala,herbaceous
Arabidella nasturtium,herbaceous
Blennodia canescens,herbaceous
Brassica fruticulosa,herbaceous
Brassica tournefortii,herbaceous
Cardamine lilacina,herbaceous
Carrichtera annua,herbaceous
Cuphonotus andraeanus,herbaceous
Cuphonotus humistratus,herbaceous
Geococcus pusillus,herbaceous
Harmsiodoxa puberula,herbaceous
Lepidium muelleri-ferdinandi,herbaceous
Lepidium oxytrichum,herbaceous
Lepidium papillosum,herbaceous
Lepidium phlebopetalum,herbaceous
Lepidium pseudohyssopifolium,herbaceous
Lepidium puberulum,herbaceous
Menkea australis,herbaceous
Sisymbrium erysimoides,herbaceous
Sisymbrium irio,herbaceous
Stenopetalum anfractum,herbaceous
Stenopetalum filifolium,herbaceous
Stenopetalum lineare,herbaceous
Stenopetalum nutans,herbaceous
Stenopetalum pedicellare,herbaceous
Burmannia juncea,herbaceous
Canarium australianum,woody
Opuntia tomentosa,woody
Lobelia dioica,herbaceous
Lobelia rhombifolia,herbaceous
Lobelia surrepens,herbaceous
Wahlenbergia capillaris,herbaceous
Wahlenbergia ceracea,herbaceous
